Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,
189,"5/24/22, 11:09:08 AM",1 ft,0:00:01,0.6 mph,21 ft,9° true,N18° 21.534' W65° 01.984',
190,"5/24/22, 11:09:09 AM",1 ft,0:00:01,0.5 mph,19 ft,345° true,N18° 21.534' W65° 01.984',
191,"5/24/22, 11:09:10 AM",1 ft,0:00:01,0.9 mph,19 ft,13° true,N18° 21.534' W65° 01.984',
192,"5/24/22, 11:09:11 AM",1 ft,0:00:01,0.7 mph,21 ft,342° true,N18° 21.534' W65° 01.984',
193,"5/24/22, 11:09:12 AM",1 ft,0:00:01,0.5 mph,21 ft,297° true,N18° 21.534' W65° 01.984',
194,"5/24/22, 11:09:13 AM",1 ft,0:00:01,0.4 mph,21 ft,39° true,N18° 21.534' W65° 01.984',
195,"5/24/22, 11:09:14 AM",0 ft,0:00:01,0.1 mph,21 ft,105° true,N18° 21.534' W65° 01.984',
196,"5/24/22, 11:09:15 AM",1 ft,0:00:01,0.6 mph,21 ft,105° true,N18° 21.534' W65° 01.984',
197,"5/24/22, 11:09:16 AM",1 ft,0:00:01,0.8 mph,21 ft,108° true,N18° 21.534' W65° 01.984',
198,"5/24/22, 11:09:17 AM",1 ft,0:00:01,0.4 mph,21 ft,130° true,N18° 21.534' W65° 01.983',
199,"5/24/22, 11:09:18 AM",1 ft,0:00:01,0.4 mph,21 ft,185° true,N18° 21.534' W65° 01.983',
200,"5/24/22, 11:09:19 AM",1 ft,0:00:01,0.4 mph,21 ft,215° true,N18° 21.534' W65° 01.983',
201,"5/24/22, 11:09:20 AM",0 ft,0:00:01,0.3 mph,21 ft,258° true,N18° 21.534' W65° 01.983',
202,"5/24/22, 11:09:21 AM",0 ft,0:00:01,0.1 mph,21 ft,180° true,N18° 21.534' W65° 01.983',
203,"5/24/22, 11:09:22 AM",1 ft,0:00:01,0.4 mph,21 ft,332° true,N18° 21.534' W65° 01.983',
204,"5/24/22, 11:09:23 AM",1 ft,0:00:01,0.4 mph,21 ft,150° true,N18° 21.534' W65° 01.984',
205,"5/24/22, 11:09:24 AM",1 ft,0:00:01,0.4 mph,21 ft,203° true,N18° 21.534' W65° 01.983',
206,"5/24/22, 11:09:25 AM",1 ft,0:00:01,0.4 mph,21 ft,267° true,N18° 21.534' W65° 01.984',
207,"5/24/22, 11:09:26 AM",0 ft,0:00:01,0.1 mph,21 ft,198° true,N18° 21.534' W65° 01.984',
208,"5/24/22, 11:09:27 AM",0 ft,0:00:01,0.1 mph,21 ft,298° true,N18° 21.534' W65° 01.984',
209,"5/24/22, 11:09:28 AM",0 ft,0:00:01,0.3 mph,21 ft,99° true,N18° 21.534' W65° 01.984',
210,"5/24/22, 11:09:29 AM",1 ft,0:00:01,0.8 mph,21 ft,88° true,N18° 21.534' W65° 01.984',
211,"5/24/22, 11:09:30 AM",1 ft,0:00:01,0.5 mph,21 ft,35° true,N18° 21.534' W65° 01.983',
212,"5/24/22, 11:09:31 AM",1 ft,0:00:01,0.5 mph,21 ft,34° true,N18° 21.534' W65° 01.983',
213,"5/24/22, 11:09:32 AM",1 ft,0:00:01,0.6 mph,21 ft,15° true,N18° 21.534' W65° 01.983',
214,"5/24/22, 11:09:33 AM",1 ft,0:00:01,0.5 mph,21 ft,351° true,N18° 21.534' W65° 01.983',
215,"5/24/22, 11:09:34 AM",1 ft,0:00:01,0.9 mph,21 ft,311° true,N18° 21.534' W65° 01.983',
216,"5/24/22, 11:09:35 AM",1 ft,0:00:01,0.4 mph,21 ft,278° true,N18° 21.535' W65° 01.983',
217,"5/24/22, 11:09:36 AM",1 ft,0:00:01,0.8 mph,21 ft,286° true,N18° 21.535' W65° 01.983',
218,"5/24/22, 11:09:37 AM",1 ft,0:00:01,0.6 mph,21 ft,306° true,N18° 21.535' W65° 01.984',
219,"5/24/22, 11:09:38 AM",0 ft,0:00:01,0.2 mph,21 ft,170° true,N18° 21.535' W65° 01.984',
